 S0C    S1C    S0U    S1U      EC       EU        OC         OU       PC     PU    YGC     YGCT    FGC    FGCT     GCT   
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 2586.6      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 115344.7 15379136.0    0.0     21248.0 13246.1      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 1384266.2 15379136.0    0.0     23744.0 22835.0      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 3922139.9 15379136.0    0.0     33920.0 33890.2      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0    0.0   5767232.0 5306596.2 15379136.0    0.0     35456.0 35228.3      0    0.000   0      0.000    0.000
961152.0 961152.0  0.0   118404.8 5767232.0 1060325.2 15379136.0    0.0     47552.0 47019.9      1    0.059   0      0.000    0.059
961152.0 961152.0  0.0   118404.8 5767232.0 2551848.2 15379136.0    0.0     49088.0 48958.5      1    0.059   0      0.000    0.059
961152.0 961152.0 129418.6  0.0   5767232.0 1480768.8 15379136.0    0.0     50432.0 50305.7      2    0.121   0      0.000    0.121
961152.0 961152.0  0.0   132674.9 5767232.0   0.0    15379136.0    0.0     50432.0 50398.3      3    0.163   0      0.000    0.163
961152.0 961152.0  0.0   132674.9 5767232.0 4213191.7 15379136.0    0.0     50432.0 50410.7      3    0.163   0      0.000    0.163
961152.0 961152.0 136536.2  0.0   5767232.0 2834366.6 15379136.0    0.0     50624.0 50507.1      4    0.199   0      0.000    0.199
142976.0 961152.0  0.0   132963.3 5767232.0 973575.9 15379136.0    0.0     50624.0 50510.1      5    0.235   0      0.000    0.235
142976.0 961152.0  0.0   132963.3 5767232.0 5591237.4 15379136.0    0.0     50816.0 50585.0      5    0.235   0      0.000    0.235
142976.0 141824.0 131565.0  0.0   7404736.0 3746602.3 15379136.0    0.0     50816.0 50784.2      6    0.272   0      0.000    0.272
142976.0 141824.0 131565.0  0.0   7404736.0 7095628.4 15379136.0    0.0     50816.0 50803.0      6    0.272   0      0.000    0.272
155008.0 63296.0  0.0   63275.4 7404736.0 3151018.7 15379136.0  83231.2   50816.0 50804.6      7    0.312   0      0.000    0.312
155008.0 63296.0  0.0   63275.4 7404736.0 6729995.3 15379136.0  83231.2   50816.0 50806.6      7    0.312   0      0.000    0.312
155008.0 162496.0 61923.3  0.0   7364544.0 2731411.5 15379136.0  84947.5   51008.0 50837.3      8    0.329   0      0.000    0.329
155008.0 162496.0 61923.3  0.0   7364544.0 5343513.9 15379136.0  84947.5   51008.0 50840.4      8    0.329   0      0.000    0.329
165824.0 66432.0  0.0   66420.7 7364544.0 539029.7 15379136.0  86656.6   51008.0 50841.3      9    0.346   0      0.000    0.346
165824.0 66432.0  0.0   66420.7 7364544.0 2914228.1 15379136.0  86656.6   51008.0 50855.4      9    0.346   0      0.000    0.346
165824.0 66432.0  0.0   66420.7 7364544.0 4334356.8 15379136.0  86656.6   51008.0 50896.1      9    0.346   0      0.000    0.346
165824.0 66432.0  0.0   66420.7 7364544.0 5492663.7 15379136.0  86656.6   51008.0 50896.7      9    0.346   0      0.000    0.346
165824.0 66432.0  0.0   66420.7 7364544.0 6606152.9 15379136.0  86656.6   51008.0 50900.5      9    0.346   0      0.000    0.346
165824.0 167168.0 67233.7  0.0   7355200.0 516618.6 15379136.0  93079.7   51008.0 50904.3     10    0.368   0      0.000    0.368
165824.0 167168.0 67233.7  0.0   7355200.0 1843322.9 15379136.0  93079.7   51008.0 50905.7     10    0.368   0      0.000    0.368
165824.0 167168.0 67233.7  0.0   7355200.0 2934372.8 15379136.0  93079.7   51008.0 50906.4     10    0.368   0      0.000    0.368
165824.0 167168.0 67233.7  0.0   7355200.0 4068564.1 15379136.0  93079.7   51008.0 50909.8     10    0.368   0      0.000    0.368
165824.0 167168.0 67233.7  0.0   7355200.0 5223002.5 15379136.0  93079.7   51008.0 50910.1     10    0.368   0      0.000    0.368
165824.0 167168.0 67233.7  0.0   7355200.0 6149096.3 15379136.0  93079.7   51008.0 50910.3     10    0.368   0      0.000    0.368
165824.0 167168.0 67233.7  0.0   7355200.0 7224379.7 15379136.0  93079.7   51008.0 50911.4     10    0.368   0      0.000    0.368
169152.0 55872.0  0.0   55858.1 7355200.0 1113725.7 15379136.0  108451.6  51008.0 50912.5     11    0.387   0      0.000    0.387
169152.0 55872.0  0.0   55858.1 7355200.0 2161125.9 15379136.0  108451.6  51008.0 50912.8     11    0.387   0      0.000    0.387
169152.0 55872.0  0.0   55858.1 7355200.0 3277058.4 15379136.0  108451.6  51008.0 50912.8     11    0.387   0      0.000    0.387
169152.0 55872.0  0.0   55858.1 7355200.0 4373231.0 15379136.0  108451.6  51008.0 50913.0     11    0.387   0      0.000    0.387
169152.0 55872.0  0.0   55858.1 7355200.0 5550170.1 15379136.0  108451.6  51008.0 50914.8     11    0.387   0      0.000    0.387
169152.0 55872.0  0.0   55858.1 7355200.0 6579427.4 15379136.0  108451.6  51008.0 50914.9     11    0.387   0      0.000    0.387
169152.0 169088.0 59114.7  0.0   7351296.0 363653.0 15379136.0  115098.6  51008.0 50915.1     12    0.403   0      0.000    0.403
169152.0 169088.0 59114.7  0.0   7351296.0 1951967.3 15379136.0  115098.6  51008.0 50915.1     12    0.403   0      0.000    0.403
169152.0 169088.0 59114.7  0.0   7351296.0 3282078.5 15379136.0  115098.6  51008.0 50915.4     12    0.403   0      0.000    0.403
169152.0 169088.0 59114.7  0.0   7351296.0 4875048.1 15379136.0  115098.6  51008.0 50917.1     12    0.403   0      0.000    0.403
169152.0 169088.0 59114.7  0.0   7351296.0 6159388.6 15379136.0  115098.6  51008.0 50917.1     12    0.403   0      0.000    0.403
167744.0 169088.0  0.0   60276.7 7351296.0 110717.1 15379136.0  120984.1  51008.0 50917.1     13    0.420   0      0.000    0.420
167744.0 169088.0  0.0   60276.7 7351296.0 2399169.5 15379136.0  120984.1  51008.0 50918.2     13    0.420   0      0.000    0.420
167744.0 169088.0  0.0   60276.7 7351296.0 4613401.9 15379136.0  120984.1  51008.0 50918.2     13    0.420   0      0.000    0.420
167744.0 169088.0  0.0   60276.7 7351296.0 7175964.1 15379136.0  120984.1  51008.0 50925.2     13    0.420   0      0.000    0.420
167744.0 166272.0 56082.1  0.0   7355520.0 2251554.4 15379136.0  126993.5  51008.0 50926.5     14    0.437   0      0.000    0.437
167744.0 166272.0 56082.1  0.0   7355520.0 3481044.6 15379136.0  126993.5  51008.0 50930.9     14    0.437   0      0.000    0.437
167744.0 166272.0 56082.1  0.0   7355520.0 4649137.6 15379136.0  126993.5  51008.0 50930.9     14    0.437   0      0.000    0.437
167744.0 166272.0 56082.1  0.0   7355520.0 6140629.7 15379136.0  126993.5  51008.0 50945.8     14    0.437   0      0.000    0.437
163776.0 166272.0  0.0   57395.2 7355520.0 1060168.6 15379136.0  132694.8  51008.0 50947.1     15    0.455   0      0.000    0.455
163776.0 166272.0  0.0   57395.2 7355520.0 3609099.2 15379136.0  132694.8  51008.0 50951.6     15    0.455   0      0.000    0.455
163776.0 166272.0  0.0   57395.2 7355520.0 6148007.0 15379136.0  132694.8  51008.0 50954.9     15    0.455   0      0.000    0.455
163776.0 161088.0 54903.8  0.0   7364672.0 1025060.7 15379136.0  144800.5  51008.0 50958.9     16    0.472   0      0.000    0.472
163776.0 161088.0 54903.8  0.0   7364672.0 2170886.1 15379136.0  144800.5  51008.0 50960.9     16    0.472   0      0.000    0.472
163776.0 161088.0 54903.8  0.0   7364672.0 3104461.8 15379136.0  144800.5  51008.0 50965.5     16    0.472   0      0.000    0.472
163776.0 161088.0 54903.8  0.0   7364672.0 4421765.4 15379136.0  144800.5  51008.0 50966.4     16    0.472   0      0.000    0.472
163776.0 161088.0 54903.8  0.0   7364672.0 5612892.2 15379136.0  144800.5  51008.0 50966.6     16    0.472   0      0.000    0.472
163776.0 161088.0 54903.8  0.0   7364672.0 6943382.5 15379136.0  144800.5  51008.0 50966.6     16    0.472   0      0.000    0.472
156928.0 161088.0  0.0   60301.3 7364672.0 736656.7 15379136.0  154915.1  51008.0 50966.9     17    0.490   0      0.000    0.490
156928.0 161088.0  0.0   60301.3 7364672.0 1693030.5 15379136.0  154915.1  51008.0 50968.2     17    0.490   0      0.000    0.490
156928.0 161088.0  0.0   60301.3 7364672.0 2633121.3 15379136.0  154915.1  51008.0 50970.5     17    0.490   0      0.000    0.490
156928.0 161088.0  0.0   60301.3 7364672.0 3832453.2 15379136.0  154915.1  51008.0 50971.1     17    0.490   0      0.000    0.490
156928.0 161088.0  0.0   60301.3 7364672.0 4643144.3 15379136.0  154915.1  51008.0 50971.3     17    0.490   0      0.000    0.490
156928.0 161088.0  0.0   60301.3 7364672.0 5446076.3 15379136.0  154915.1  51008.0 50978.5     17    0.490   0      0.000    0.490
156928.0 161088.0  0.0   60301.3 7364672.0 6341733.8 15379136.0  154915.1  51008.0 50978.5     17    0.490   0      0.000    0.490
156928.0 152000.0 63889.4  0.0   7380608.0 683899.1 15379136.0  165733.3  51008.0 50979.5     18    0.512   0      0.000    0.512
156928.0 152000.0 63889.4  0.0   7380608.0 2891237.3 15379136.0  165733.3  51008.0 50979.5     18    0.512   0      0.000    0.512
156928.0 152000.0 63889.4  0.0   7380608.0 4446480.7 15379136.0  165733.3  51008.0 50979.7     18    0.512   0      0.000    0.512
151360.0 152000.0  0.0   39055.8 7380608.0 305395.1 15379136.0  196562.6  51008.0 50980.2     19    0.529   0      0.000    0.529
151360.0 152000.0  0.0   39055.8 7380608.0 1138250.2 15379136.0  196562.6  51008.0 50982.1     19    0.529   0      0.000    0.529
151360.0 152000.0  0.0   39055.8 7380608.0 2274955.6 15379136.0  196562.6  51008.0 50982.7     19    0.529   0      0.000    0.529
151360.0 152000.0  0.0   39055.8 7380608.0 3353854.4 15379136.0  196562.6  51008.0 50982.7     19    0.529   0      0.000    0.529
151360.0 152000.0  0.0   39055.8 7380608.0 4243908.6 15379136.0  196562.6  51008.0 50982.7     19    0.529   0      0.000    0.529
151360.0 152000.0  0.0   39055.8 7380608.0 5087124.8 15379136.0  196562.6  51008.0 50983.2     19    0.529   0      0.000    0.529
151360.0 152000.0  0.0   39055.8 7380608.0 5936226.3 15379136.0  196562.6  51008.0 50983.2     19    0.529   0      0.000    0.529
151360.0 152000.0  0.0   39055.8 7380608.0 6878098.4 15379136.0  196562.6  51008.0 50983.2     19    0.529   0      0.000    0.529
151360.0 145280.0 65234.2  0.0   7392896.0 618625.1 15379136.0  200002.6  51008.0 50983.2     20    0.547   0      0.000    0.547
151360.0 145280.0 65234.2  0.0   7392896.0 1663312.6 15379136.0  200002.6  51008.0 50983.2     20    0.547   0      0.000    0.547
151360.0 145280.0 65234.2  0.0   7392896.0 2401465.8 15379136.0  200002.6  51008.0 50983.5     20    0.547   0      0.000    0.547
151360.0 145280.0 65234.2  0.0   7392896.0 3067345.4 15379136.0  200002.6  51008.0 50983.5     20    0.547   0      0.000    0.547
151360.0 145280.0 65234.2  0.0   7392896.0 3944343.9 15379136.0  200002.6  51008.0 50983.5     20    0.547   0      0.000    0.547
151360.0 145280.0 65234.2  0.0   7392896.0 4542079.9 15379136.0  200002.6  51008.0 50983.5     20    0.547   0      0.000    0.547
151360.0 145280.0 65234.2  0.0   7392896.0 5362797.4 15379136.0  200002.6  51008.0 50983.5     20    0.547   0      0.000    0.547
151360.0 145280.0 65234.2  0.0   7392896.0 6468671.6 15379136.0  200002.6  51008.0 50983.7     20    0.547   0      0.000    0.547
140608.0 145280.0  0.0   58887.8 7392896.0 648096.0 15379136.0  207658.5  51008.0 50983.7     21    0.564   0      0.000    0.564
140608.0 145280.0  0.0   58887.8 7392896.0 2773127.8 15379136.0  207658.5  51008.0 50983.7     21    0.564   0      0.000    0.564
140608.0 145280.0  0.0   58887.8 7392896.0 4346444.7 15379136.0  207658.5  51008.0 50983.7     21    0.564   0      0.000    0.564
140608.0 145280.0  0.0   58887.8 7392896.0 6767950.5 15379136.0  207658.5  51008.0 50983.7     21    0.564   0      0.000    0.564
140608.0 137600.0 49273.5  0.0   7411328.0 2107738.9 15379136.0  225032.2  51008.0 50983.7     22    0.582   0      0.000    0.582
140608.0 137600.0 49273.5  0.0   7411328.0 5031002.7 15379136.0  225032.2  51008.0 50985.4     22    0.582   0      0.000    0.582
137088.0 137600.0  0.0   33245.4 7411328.0 958103.4 15379136.0  248306.7  51008.0 50985.4     23    0.597   0      0.000    0.597
137088.0 137600.0  0.0   33245.4 7411328.0 3304373.8 15379136.0  248306.7  51008.0 50986.6     23    0.597   0      0.000    0.597
137088.0 137600.0  0.0   33245.4 7411328.0 6409877.0 15379136.0  248306.7  51008.0 50986.6     23    0.597   0      0.000    0.597
137088.0 134784.0 38065.4  0.0   7417664.0 2031773.8 15379136.0  262708.8  51008.0 50986.6     24    0.612   0      0.000    0.612
