procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3  31812 32027004   4216  41232    0    0    33    19    1    1  0  0 99  0  0
 2  0  31812 31965296   4564  48072    0    0  3554     0 1435 2802  6  0 88  5  0
 0  1  31812 31895328   4624  55360    0    0  3882   230 1524 3253  9  1 88  3  0
 0  0  31812 31841760   4628  60412    0    0  2318     0 1334 3599  5  0 94  1  0
 0  0  31812 31841388   4636  60620    0    0     0   100 1007 2164  0  0 99  0  0
 2  0  31812 31573260   4672  66952    0    0  3186     0 1447 5598 30  1 67  2  0
 0  1  31812 31360728   4908 114920    0    0  6430     0 5252 12163 17  2 71 10  0
 4  6  31812 29441324   5196 294608    0    0 28382 21802 12862 21999 19  7 54 20  0
 3 10  31812 27050364   5568 541476    0    0 33602     0 17861 23656 23  9 51 18  0
 2 39  31812 25876836   5796 756700    0    0 37446 31440 13277 19483 21  6 40 33  0
 3 12  31812 25048600   6216 1134220    0    0 49830 31982 23292 34758 15  5 39 41  0
 1 14  31812 24583996   6424 1370228    0    0 31978 20888 16891 23031 19  5 43 33  0
 2 15  31812 24308092   6680 1635848    0    0 32582 11120 18026 26509 18  5 51 26  0
 1 14  31812 23979672   6912 1868324    0    0 33108 17094 16012 21712 19  5 39 38  0
 3 15  31812 23730212   7176 2106736    0    0 34538 10020 14636 22109 18  4 42 36  0
 1 17  31812 23459088   7436 2367844    0    0 32898  9582 16370 25898 15  5 48 31  0
 3 17  31812 23159160   7732 2631164    0    0 31508 15216 16358 26019 19  5 38 38  0
 1 15  31812 22906328   7988 2874200    0    0 31444  6010 17024 24616 15  5 45 35  0
 3 15  31812 22681788   8292 3086776    0    0 32040 10838 15295 21047 15  4 52 30  0
 2 14  31812 22324272   8544 3322268    0    0 33410 11442 15953 22852 17  5 49 29  0
 1 16  31812 22072572   8776 3566724    0    0 33858 11690 16867 23702 16  5 48 31  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 13  31812 21622772   9016 3782752    0    0 34226 14104 15407 20077 16  5 52 28  0
 1  9  31812 20173920   9200 3975180    0    0 31586 11650 13646 18206 16  6 61 17  0
 0 18  31812 20013020   9380 4136636    0    0 31468 47268 10785 14173 14  3 42 41  0
 1 11  31812 19781500   9600 4362128    0    0 30594 21078 16678 20418 16  4 57 23  0
 5 12  31812 19575972   9804 4555768    0    0 26150 38504 15234 20582 15  4 60 20  0
 0 11  31812 19272596  10024 4754300    0    0 17142 28070 14486 23240 14  5 49 34  0
 4 14  31812 19075080  10224 4942284    0    0 17708 27506 13870 20800 12  4 51 33  0
 2 13  31812 18868032  10448 5143468    0    0 22298 26676 13966 20181 13  4 45 37  0
 1 13  31812 18684852  10664 5319536    0    0 23074 14926 12758 18155 12  4 51 34  0
 3 14  31812 18492204  10844 5503320    0    0 28570 17432 13004 17662 15  4 52 29  0
 1 13  31812 18293136  11012 5673508    0    0 27040 19472 11746 16623 14  3 52 31  0
 1 11  31812 18137888  11172 5822060    0    0 18792 33448 11415 15780 11  3 60 26  0
