procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  2 183708 31233496   6108  44636    0    0    19    12    0    0  1  0 98  0  0	
 1  1 183708 31175336   7052  55328    0    0  5630     0 2005 1985  5  0 89  6  0	
 3  0 183708 31121672   7472  64276    0    0  4564   146 2182 1987  6  0 87  6  0	
 1  1 183708 30966212   7496  74248    0    0  5210     0 3173 3590  5  0 92  2  0	
 1  0 183708 30961660   7632  74892    0    0   224     0  773 1164  0  0 99  0  0	
14  0 183708 30819752   7656  79220    0    0  2188   206 5144 3977 22  0 76  1  0	
 7  6 183708 29897852   7988 145384    0    0 17868     2 13953 12567 36  5 51  9  0	
 4 11 183708 26682636   7996 424928    0    0 48548  1808 23566 21498 36  8 36 20  0	
 9 13 183708 25132608   8004 674136    0    0 50432    18 20288 16510 26  7 46 21  0	
 3 11 183708 24471216   8004 926732    0    0 44672     0 20139 17155 23  4 58 15  0	
 5 11 183708 24079440   8288 1205012    0    0 52108    18 20882 18060 26  4 47 23  0	
 1  8 183708 23651404   8296 1503508    0    0 55488    18 22134 18864 29  5 47 20  0	
 7 10 183708 23358268   8308 1790384    0    0 53442    12 21818 19346 26  4 50 20  0	
 4 11 183708 23054904   8324 2049980    0    0 52740    24 20279 16884 27  4 53 17  0	
 8  9 183708 22681020   8328 2307888    0    0 55040     2 20353 16792 27  7 47 19  0	
 2  7 183708 22385720   8336 2595980    0    0 52800    18 19373 20260 24  4 53 20  0	
 1  7 183708 20913012   9148 2895364    0    0 53138    26 20704 20477 24  5 51 19  0	
 4  9 183708 20363572   9156 3189680    0    0 49672    50 20757 20561 25  6 54 16  0	
 4  4 183708 20033164   9164 3449844    0    0 46406    26 20863 19601 23  4 53 20  0	
 3  0 183708 19762264   9168 3612732    0    0 38464     0 18221 15484 18  3 66 13  0	
 1  0 183708 19618384   9176 3754044    0    0 27780    90 17807 14249 14  2 81  2  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 183708 19494260   9184 3873872    0    0 23488    38 17398 12056 13  2 84  0  0	
 1  3 183708 19369516   9196 3993792    0    0 24514 52298 17089 12042 12  2 79  7  0	
 0  3 183708 19246780   9292 4116004    0    0 19826 42746 17373 14285 10  2 75 13  0	
 3  3 183708 19118432   9296 4212196    0    0 19392 48162 9066 7685  9  2 79 10  0	
 1  2 183708 18965540   9304 4361688    0    0 34560    36 13296 10991 13  2 74 11  0	
 4  5 183708 18797644   9312 4523912    0    0 35074 41222 14534 12789 14  2 68 16  0	
 3  6 183708 18609660   9324 4702096    0    0 38402   300 16727 13480 18  3 67 13  0	
 3  5 183708 18416344   9324 4893516    0    0 39104     0 18523 15575 16  3 67 14  0	
 3  5 183708 18236568   9324 5070348    0    0 37186     0 18036 14547 15  2 68 14  0	
 1  6 183708 18082856   9344 5223088    0    0 33986 43456 18022 14037 14  2 69 15  0	
 4  7 183708 17969320   9760 5316956    0    0 16900 61842 14453 11588  8  2 71 19  0	
 4  0 183708 17834064  10044 5445736    0    0 28336 34034 16769 12392 11  2 61 26  0	
 3  2 183708 17739832  10052 5541016    0    0 19266 51900 15260 10850  8  2 76 13  0	
 0  1 183708 17610988  10064 5666356    0    0 17092 66046 17011 14671  8  2 72 17  0	
 2  2 183708 17469636  10076 5806584    0    0 22720 45120 18628 13697 11  2 74 14  0	
 2  1 183708 17365120  10084 5907968    0    0 13890 69892 14360 10575  7  2 81 10  0	
 2  4 183708 17207752  10096 6059536    0    0 24132 43452 19402 14885 12  2 75 10  0	
 0  2 183708 17097764  10100 6169820    0    0 22656 25124 17008 11356 10  2 79  9  0	
 1  2 183708 16972044  10108 6290692    0    0 23362 59654 17845 12471 11  2 77 10  0	
 1  1 183708 16815060  10120 6445048    0    0 25282 32538 19658 14919 11  2 71 15  0	
 3  3 183708 16659820  10128 6597276    0    0 25158 28722 18734 14068 11  2 72 14  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
