procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3  11672 29417856   4020  68816    1    1    47    20    1    1  0  0 99  0  0
 0  1  11672 29351928   4140  82088    0    0  6608     0 2635 1167  4  0 88  7  0
 2  0  11672 29261720   4204 101236    0    0  9948     0 3099 1998  8  1 88  3  0
 0  0  11672 29207952   4208 107520    0    0  3030     0 2572 1875  3  1 96  1  0
 0  0  11672 29207632   4208 107228    0    0     0     0  935  808  0  0 100  0  0
 1  0  11672 28914872   4260 113612    0    0  3272     0 3921 2899 20  1 77  2  0
 9  2  11672 28411024   4460 174752    0    0 17052     0 12459 10818 16  2 64 18  0
 3  2  11672 26301776   4712 307832    0    0 34900 17188 13488 7790 17  7 44 32  0
 5  6  11672 24288520   5048 567048    0    0 27214   332 37789 19432 14  8 43 36  0
 8  4  11672 23087816   5328 850116    0    0 44944   384 31248 14778 20  6 55 18  0
 9  8  11672 22407432   5628 1158132    0    0 44516   214 34653 17006 21  5 54 20  0
 7  7  11672 21899184   5956 1504340    0    0 49442    14 35064 14825 22  6 33 39  0
 6 10  11672 21467936   6324 1861992    0    0 51946     0 38257 27323 25  4 35 35  0
 6 10  11672 21154040   6788 2175728    0    0 42478    18 34210 24803 19  3 39 39  0
 1  2  11672 21002928   6952 2326684    0    0 28042     0 14323 10360  8  1 52 38  0
 6  9  11672 20630896   7504 2646636    0    0 43812 24638 32110 22119 19  3 56 21  0
 3 11  11672 20358968   7980 2917352    0    0 41294     2 27176 20160 16  3 50 31  0
 4 13  11672 19956936   8408 3154188    0    0 41280     0 23768 17239 18  2 42 37  0
 5 12  11672 19728504   8828 3384676    0    0 41338     0 23902 16615 14  2 42 41  0
 7  8  11672 18366432   9236 3591896    0    0 40132     0 20466 13817 17  5 45 33  0
 5  6  11672 17917664   9700 3806216    0    0 39388     0 25607 19817 22  2 48 28  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  8  11672 17669728  10152 4054812    0    0 51234     0 23441 17030 19  2 44 35  0
 9  2  11672 17271800  10488 4310452    0    0 53324  5450 25259 17873 19  2 46 32  0
 5  5  11672 17004584  10756 4575892    0    0 51290 17046 25925 18547 20  2 63 15  0
11  6  11672 16689168  11052 4865788    0    0 52278  6266 29518 22717 22  2 58 18  0
 6  3  11672 16409960  11336 5144384    0    0 50076 18092 29496 22456 19  2 65 14  0
 5  6  11672 16094864  11584 5429120    0    0 52474  5790 25606 19010 22  2 59 16  0
 9  8  11672 15826152  11848 5698940    0    0 52818  5254 21624 15473 20  2 58 19  0
 7  4  11672 15564104  12112 5957996    0    0 50800  6318 23014 17476 19  2 55 23  0
 5  4  11672 15313592  12392 6196048    0    0 41296 12974 26734 20637 14  2 73 11  0
 4  3  11672 15071608  12632 6438560    0    0 43772 22096 22740 18027 15  2 75  8  0
 4  4  11672 14815160  12860 6675308    0    0 43206 10072 22692 19038 17  2 76  5  0
 1  3  11672 14536232  13152 6952816    0    0 48310 15606 26922 21774 17  2 75  6  0
 1  3  11672 14359912  13340 7126836    0    0 21784 29158 27023 22018  6  1 79 13  0
 2  2  11672 14209432  13492 7277924    0    0 15480 43006 25920 20368  3  1 82 13  0
 0  2  11672 14082664  13616 7405648    0    0 11534 39690 24244 19171  3  1 85 11  0
